object_id,nome,tipo,costellazione,magnitudine,ascensione_retta,declinazione,dimensione_apparente,max_angular_size_deg,recommended_observation_type,best_filter_class,fallback_filter_class,optional_color_filter_class,imaging_reducer_recommended,descrizione
caldwell-C63,NGC 7293 - Nebulosa Elica,Planetary nebula,Aquarius,6.5,22h 29.6m,-20° 48′,13′,0.217,General,OIII,,,0,C63 (NGC 7293) - Nebulosa planetaria nella costellazione di Acquario.
caldwell-C64,NGC 2362 - Ammasso Tau Canis Majoris,Open cluster,Canis Major,4.1,07h 18.8m,-24° 57′,8′,0.133,General,,,,0,C64 (NGC 2362) - Ammasso aperto nella costellazione di Cane Maggiore.
caldwell-C65,NGC 253 - Galassia dello Scultore,Spiral galaxy,Sculptor,7.1,00h 47.6m,-25° 17′,25′ x 7′,0.417,WideField,,,,1,C65 (NGC 253) - Galassia spirale nella costellazione di Scultore.
caldwell-C66,NGC 5694,Globular cluster,Hydra,10.2,14h 39.6m,-26° 32′,3.6′,0.060,General,,,,0,C66 (NGC 5694) - Ammasso globulare nella costellazione di Idra.
caldwell-C67,NGC 1097,Barred spiral galaxy,Fornax,9.2,02h 46.3m,-30° 17′,9′ x 6′,0.150,General,,,,0,C67 (NGC 1097) - Galassia spirale barrata nella costellazione di Fornace.
caldwell-C68,NGC 6729 - Nebulosa R Coronae Australis,Nebula,Corona Australis,9.7,19h 01.9m,-36° 57′,1.0′,0.017,General,,,,0,C68 (NGC 6729) - Nebulosa nella costellazione di Corona Australe.
caldwell-C69,NGC 6302 - Nebulosa Insetto,Planetary nebula,Scorpius,12.8,17h 13.7m,-37° 06′,0.8′,0.013,HighMagnification,OIII,,,0,C69 (NGC 6302) - Nebulosa planetaria nella costellazione di Scorpione.
caldwell-C70,NGC 300,Spiral galaxy,Sculptor,8.1,00h 54.9m,-37° 41′,20′ x 13′,0.333,WideField,,,,1,C70 (NGC 300) - Galassia spirale nella costellazione di Scultore.
caldwell-C71,NGC 2477,Open cluster,Puppis,5.8,07h 52.3m,-38° 33′,27′,0.450,WideField,,,,1,C71 (NGC 2477) - Ammasso aperto nella costellazione di Poppa.
caldwell-C72,NGC 55,Barred spiral galaxy,Sculptor,8.2,00h 14.9m,-39° 11′,32′ x 6′,0.533,WideField,,,,1,C72 (NGC 55) - Galassia spirale barrata nella costellazione di Scultore.
caldwell-C73,NGC 1851,Globular cluster,Columba,7.3,05h 14.1m,-40° 03′,11′,0.183,General,,,,0,C73 (NGC 1851) - Ammasso globulare nella costellazione di Colomba.
caldwell-C74,NGC 3132,Planetary nebula,Vela,8.2,10h 07.7m,-40° 26′,0.8′,0.013,HighMagnification,OIII,,,0,C74 (NGC 3132) - Nebulosa planetaria nella costellazione di Vele.
caldwell-C75,NGC 6124,Open cluster,Scorpius,5.8,16h 25.6m,-40° 40′,29′,0.483,WideField,,,,1,C75 (NGC 6124) - Ammasso aperto nella costellazione di Scorpione.
caldwell-C76,NGC 6231,Open cluster,Scorpius,2.6,16h 54.0m,-41° 48′,15′,0.250,General,,,,0,C76 (NGC 6231) - Ammasso aperto nella costellazione di Scorpione.
caldwell-C77,NGC 5128 - Centaurus A,Peculiar galaxy,Centaurus,7.0,13h 25.5m,-43° 01′,18′ x 14′,0.300,General,,,,0,C77 (NGC 5128) - Galassia peculiare nella costellazione di Centauro.
caldwell-C78,NGC 6541,Globular cluster,Corona Australis,6.6,18h 08.0m,-43° 42′,13′,0.217,General,,,,0,C78 (NGC 6541) - Ammasso globulare nella costellazione di Corona Australe.
caldwell-C79,NGC 3201,Globular cluster,Vela,6.7,10h 17.6m,-46° 25′,18′,0.300,General,,,,0,C79 (NGC 3201) - Ammasso globulare nella costellazione di Vele.
caldwell-C80,NGC 5139 - Omega Centauri,Globular cluster,Centaurus,3.6,13h 26.8m,-47° 29′,36′,0.600,General,,,,0,C80 (NGC 5139) - Ammasso globulare nella costellazione di Centauro.
caldwell-C81,NGC 6352,Globular cluster,Ara,8.1,17h 25.5m,-48° 25′,7′,0.117,General,,,,0,C81 (NGC 6352) - Ammasso globulare nella costellazione di Altare.
caldwell-C82,NGC 6193,Open cluster,Ara,5.2,16h 41.3m,-48° 46′,15′,0.250,General,,,,0,C82 (NGC 6193) - Ammasso aperto nella costellazione di Altare.
caldwell-C83,NGC 4945,Barred spiral galaxy,Centaurus,9.5,13h 05.4m,-49° 28′,20′ x 4′,0.333,WideField,,,,1,C83 (NGC 4945) - Galassia spirale barrata nella costellazione di Centauro.
caldwell-C84,NGC 5286,Globular cluster,Centaurus,7.6,13h 46.4m,-51° 22′,9′,0.150,General,,,,0,C84 (NGC 5286) - Ammasso globulare nella costellazione di Centauro.
caldwell-C85,IC 2391 - Ammasso Omicron Velorum,Open cluster,Vela,2.5,08h 40.2m,-53° 04′,50′,0.833,WideField,,,,1,C85 (IC 2391) - Ammasso aperto nella costellazione di Vele.
caldwell-C86,NGC 6397,Globular cluster,Ara,5.6,17h 40.7m,-53° 40′,26′,0.433,General,,,,0,C86 (NGC 6397) - Ammasso globulare nella costellazione di Altare.
caldwell-C87,NGC 1261,Globular cluster,Horologium,8.4,03h 12.3m,-55° 13′,7′,0.117,General,,,,0,C87 (NGC 1261) - Ammasso globulare nella costellazione di Orologio.
caldwell-C88,NGC 5823,Open cluster,Circinus,7.9,15h 05.7m,-55° 36′,10′,0.167,General,,,,0,C88 (NGC 5823) - Ammasso aperto nella costellazione di Compasso.
caldwell-C89,NGC 6087 - Ammasso S Normae,Open cluster,Norma,5.4,16h 18.9m,-57° 54′,12′,0.200,General,,,,0,C89 (NGC 6087) - Ammasso aperto nella costellazione di Regolo.
caldwell-C90,NGC 2867,Planetary nebula,Carina,9.7,09h 21.4m,-58° 19′,0.2′,0.003,HighMagnification,OIII,,,0,C90 (NGC 2867) - Nebulosa planetaria nella costellazione di Carena.
caldwell-C91,NGC 3532,Open cluster,Carina,3.0,11h 06.4m,-58° 40′,55′,0.917,WideField,,,,1,C91 (NGC 3532) - Ammasso aperto nella costellazione di Carena.
caldwell-C92,NGC 3372 - Nebulosa della Carena,Nebula,Carina,6.2,10h 43.8m,-59° 52′,120′ x 120′,2.000,WideField,UHC,,,1,C92 (NGC 3372) - Nebulosa nella costellazione di Carena.
caldwell-C93,NGC 6752,Globular cluster,Pavo,5.4,19h 10.9m,-59° 59′,20′,0.333,General,,,,0,C93 (NGC 6752) - Ammasso globulare nella costellazione di Pavone.
caldwell-C94,NGC 4755 - Scrigno di Gioielli,Open cluster,Crux,4.2,12h 53.6m,-60° 20′,10′,0.167,General,,,,0,C94 (NGC 4755) - Ammasso aperto nella costellazione di Croce del Sud.
caldwell-C95,NGC 6025,Open cluster,Triangulum Australe,5.1,16h 03.7m,-60° 30′,12′,0.200,General,,,,0,C95 (NGC 6025) - Ammasso aperto nella costellazione di Triangolo Australe.
caldwell-C96,NGC 2516,Open cluster,Carina,3.8,07h 58.3m,-60° 52′,30′,0.500,WideField,,,,1,C96 (NGC 2516) - Ammasso aperto nella costellazione di Carena.
caldwell-C97,NGC 3766,Open cluster,Centaurus,5.3,11h 36.1m,-61° 37′,12′,0.200,General,,,,0,C97 (NGC 3766) - Ammasso aperto nella costellazione di Centauro.
caldwell-C98,NGC 4609,Open cluster,Crux,6.9,12h 42.3m,-62° 58′,5′,0.083,General,,,,0,C98 (NGC 4609) - Ammasso aperto nella costellazione di Croce del Sud.
caldwell-C99,Nebulosa Sacco di Carbone,Dark nebula,Crux,,12h 53.0m,-63° 00′,400′ x 300′,6.667,WideField,,,,1,C99 - Nebulosa oscura nella costellazione di Croce del Sud.
caldwell-C100,IC 2944 - Ammasso Lambda Centauri,Open cluster,Centaurus,4.5,11h 36.6m,-63° 02′,15′,0.250,General,,,,0,C100 (IC 2944) - Ammasso aperto nella costellazione di Centauro.
caldwell-C101,NGC 6744,Barred spiral galaxy,Pavo,9.0,19h 09.8m,-63° 51′,16′ x 10′,0.267,General,,,,0,C101 (NGC 6744) - Galassia spirale barrata nella costellazione di Pavone.
caldwell-C102,IC 2602 - Pleiadi del Sud,Open cluster,Carina,1.9,10h 43.2m,-64° 24′,50′,0.833,WideField,,,,1,C102 (IC 2602) - Ammasso aperto nella costellazione di Carena.
caldwell-C103,NGC 2070 - Nebulosa Tarantola,Nebula,Dorado,1.0,05h 38.7m,-69° 06′,40′ x 25′,0.667,WideField,UHC,,,1,C103 (NGC 2070) - Nebulosa nella costellazione di Dorado.
caldwell-C104,NGC 362,Globular cluster,Tucana,6.6,01h 03.2m,-70° 51′,13′,0.217,General,,,,0,C104 (NGC 362) - Ammasso globulare nella costellazione di Tucano.
caldwell-C105,NGC 4833,Globular cluster,Musca,7.3,12h 59.6m,-70° 53′,14′,0.233,General,,,,0,C105 (NGC 4833) - Ammasso globulare nella costellazione di Mosca.
caldwell-C106,NGC 104 - 47 Tucanae,Globular cluster,Tucana,4.0,00h 24.1m,-72° 05′,31′,0.517,General,,,,0,C106 (NGC 104) - Ammasso globulare nella costellazione di Tucano.
caldwell-C107,NGC 6101,Globular cluster,Apus,9.3,16h 25.8m,-72° 12′,11′,0.183,General,,,,0,C107 (NGC 6101) - Ammasso globulare nella costellazione di Uccello del Paradiso.
caldwell-C108,NGC 4372,Globular cluster,Musca,7.8,12h 25.8m,-72° 40′,19′,0.317,General,,,,0,C108 (NGC 4372) - Ammasso globulare nella costellazione di Mosca.
caldwell-C109,NGC 3195,Planetary nebula,Chamaeleon,,10h 09.5m,-80° 52′,0.6′,0.010,HighMagnification,OIII,,,0,C109 (NGC 3195) - Nebulosa planetaria nella costellazione di Camaleonte.
