object_id,nome,tipo,costellazione,magnitudine,ascensione_retta,declinazione,dimensione_apparente,max_angular_size_deg,recommended_observation_type,best_filter_class,fallback_filter_class,optional_color_filter_class,imaging_reducer_recommended,descrizione
messier-M57,Ring Nebula,Planetary nebula,Lyra,8.8,18h 53m 35.1s,+33° 01′ 45.0″,230″ × 230″,0.064,HighMagnification,OIII,,,0,M57 (NGC 6720) - Planetary nebula in Lyra.
messier-M58,M58,Barred Spiral galaxy,Virgo,9.7,12h 37m 43.5s,+11° 49′ 05″,5.9′ × 4.7′,0.098,General,,,,0,M58 (NGC 4579) - Barred Spiral galaxy in Virgo.
messier-M59,M59,Elliptical galaxy,Virgo,9.6,12h 42m 02.3s,+11° 38′ 49″,5.4′ × 3.7′,0.090,General,,,,0,M59 (NGC 4621) - Elliptical galaxy in Virgo.
messier-M60,M60,Elliptical galaxy,Virgo,8.8,12h 43m 39.6s,+11° 33′ 09″,7.4′ × 6.0′,0.123,General,,,,0,M60 (NGC 4649) - Elliptical galaxy in Virgo.
messier-M61,Swelling Spiral Galaxy,Spiral galaxy,Virgo,9.7,12h 21m 54.9s,+04° 28′ 25″,6.5′ × 5.8′,0.108,General,,,,0,M61 (NGC 4303) - Spiral galaxy in Virgo.
messier-M62,Flickering Globular,Globular cluster,Ophiuchus,6.5,17h 01m 12.6s,-30° 06′ 44.5″,15′,0.250,General,,,,0,M62 (NGC 6266) - Globular cluster in Ophiuchus.
messier-M63,Sunflower Galaxy,Spiral galaxy,Canes Venatici,8.6,13h 15m 49.3s,+42° 01′ 45″,12.6′ × 7.2′,0.210,General,,,,0,M63 (NGC 5055) - Spiral galaxy in Canes Venatici.
messier-M64,Black Eye Galaxy,Spiral galaxy,Coma Berenices,8.5,12h 56m 43.7s,+21° 40′ 58″,10.7′ × 5.1′,0.178,General,,,,0,M64 (NGC 4826) - Spiral galaxy in Coma Berenices.
messier-M65,Leo Triplet,Barred Spiral galaxy,Leo,9.3,11h 18m 55.9s,+13° 05′ 32″,8.7′ × 2.5′,0.145,General,,,,0,M65 (NGC 3623) - Barred Spiral galaxy in Leo.
messier-M66,Leo Triplet,Barred Spiral galaxy,Leo,8.9,11h 20m 15.0s,+12° 59′ 30″,9.1′ × 4.2′,0.152,General,,,,0,M66 (NGC 3627) - Barred Spiral galaxy in Leo.
messier-M67,King Cobra or Golden Eye Cluster,Open cluster,Cancer,6.1,08h 51.3m,+11° 49′,30′,0.500,WideField,,,,1,M67 (NGC 2682) - Open cluster in Cancer.
messier-M68,M68,Globular cluster,Hydra,7.8,12h 39m 28.0s,-26° 44′ 38.6″,11′,0.183,General,,,,0,M68 (NGC 4590) - Globular cluster in Hydra.
messier-M69,M69,Globular cluster,Sagittarius,7.6,18h 31m 23.1s,-32° 20′ 53.1″,10.8′,0.180,General,,,,0,M69 (NGC 6637) - Globular cluster in Sagittarius.
messier-M70,M70,Globular cluster,Sagittarius,7.9,18h 43m 12.8s,-32° 17′ 31.6″,8′,0.133,HighMagnification,,,,0,M70 (NGC 6681) - Globular cluster in Sagittarius.
messier-M71,Angelfish Cluster,Globular cluster,Sagitta,8.2,19h 53m 46.5s,+18° 46′ 45.1″,7.2′,0.120,HighMagnification,,,,0,M71 (NGC 6838) - Globular cluster in Sagitta.
messier-M72,M72,Globular cluster,Aquarius,9.3,20h 53m 27.7s,-12° 32′ 14.3″,6.6′,0.110,HighMagnification,,,,0,M72 (NGC 6981) - Globular cluster in Aquarius.
messier-M73,M73,Asterism,Aquarius,9.0,20h 58m 54s,-12° 38′,2.8′,0.047,HighMagnification,,,,0,M73 (NGC 6994) - Asterism in Aquarius.
messier-M74,Phantom Galaxy,Spiral galaxy,Pisces,9.4,01h 36m 41.8s,+15° 47′ 01″,10.5′ × 9.5′,0.175,General,,,,0,M74 (NGC 628) - Spiral galaxy in Pisces.
messier-M75,M75,Globular cluster,Sagittarius,8.5,20h 06m 04.8s,-21° 55′ 16.2″,6.8′,0.113,HighMagnification,,,,0,M75 (NGC 6864) - Globular cluster in Sagittarius.
messier-M76,Little Dumbbell Nebula,Planetary nebula,Perseus,10.1,01h 42.4m,+51° 34′ 31″,2.7′ × 1.8′,0.045,HighMagnification,OIII,,,0,"M76 (NGC 650,NGC 651) - Planetary nebula in Perseus."
messier-M77,Cetus A or Squid Galaxy,Spiral galaxy,Cetus,8.9,02h 42m 40.7s,-00° 00′ 48″,7.1′ × 6.0′,0.118,General,,,,0,M77 (NGC 1068) - Spiral galaxy in Cetus.
messier-M78,M78,Diffuse nebula,Orion,8.3,05h 46m 46.7s,+00° 00′ 50″,8′ × 6′,0.133,General,,,,0,M78 (NGC 2068) - Diffuse nebula in Orion.
messier-M79,M79,Globular cluster,Lepus,7.7,05h 24m 10.6s,-24° 31′ 27.3″,8.7′,0.145,HighMagnification,,,,0,M79 (NGC 1904) - Globular cluster in Lepus.
messier-M80,M80,Globular cluster,Scorpius,7.3,16h 17m 02.4s,-22° 58′ 33.9″,10′,0.167,HighMagnification,,,,0,M80 (NGC 6093) - Globular cluster in Scorpius.
messier-M81,Bode's Galaxy,Spiral galaxy,Ursa Major,6.9,09h 55m 33.2s,+69° 03′ 55″,26.9′ × 14.1′,0.448,General,,,,0,M81 (NGC 3031) - Spiral galaxy in Ursa Major.
messier-M82,Cigar Galaxy,Starburst galaxy,Ursa Major,8.4,09h 55m 52.2s,+69° 40′ 47″,11.2′ × 4.3′,0.187,General,,,,0,M82 (NGC 3034) - Starburst galaxy in Ursa Major.
messier-M83,Southern Pinwheel Galaxy,Barred Spiral galaxy,Hydra,7.6,13h 37m 00.9s,-29° 51′ 57″,12.9′ × 11.5′,0.215,General,,,,0,M83 (NGC 5236) - Barred Spiral galaxy in Hydra.
messier-M84,M84,Lenticular galaxy,Virgo,9.1,12h 25m 03.7s,+12° 53′ 13″,6.5′ × 5.6′,0.108,General,,,,0,M84 (NGC 4374) - Lenticular galaxy in Virgo.
messier-M85,M85,Lenticular galaxy,Coma Berenices,9.1,12h 25m 24.0s,+18° 11′ 28″,7.1′ × 5.5′,0.118,General,,,,0,M85 (NGC 4382) - Lenticular galaxy in Coma Berenices.
messier-M86,M86,Lenticular galaxy,Virgo,8.9,12h 26m 11.7s,+12° 56′ 46″,8.9′ × 5.8′,0.148,General,,,,0,M86 (NGC 4406) - Lenticular galaxy in Virgo.
messier-M87,Virgo A,Elliptical galaxy,Virgo,8.6,12h 30m 49.4s,+12° 23′ 28.0″,7.2′ × 6.8′,0.120,General,,,,0,M87 (NGC 4486) - Elliptical galaxy in Virgo.
messier-M88,M88,Spiral galaxy,Coma Berenices,9.6,12h 31m 59.2s,+14° 25′ 14″,6.9′ × 3.7′,0.115,General,,,,0,M88 (NGC 4501) - Spiral galaxy in Coma Berenices.
messier-M89,M89,Elliptical galaxy,Virgo,9.8,12h 35m 39.8s,+12° 33′ 23″,5.1′ × 4.7′,0.085,General,,,,0,M89 (NGC 4552) - Elliptical galaxy in Virgo.
messier-M90,Carabin Galaxy,Spiral galaxy,Virgo,9.5,12h 36m 49.8s,+13° 09′ 46″,9.5′ × 4.4′,0.158,General,,,,0,M90 (NGC 4569) - Spiral galaxy in Virgo.
messier-M91,M91,Barred Spiral galaxy,Coma Berenices,10.2,12h 35m 26.4s,+14° 29′ 47″,5.4′ × 4.3′,0.090,General,,,,0,M91 (NGC 4548) - Barred Spiral galaxy in Coma Berenices.
messier-M92,M92,Globular cluster,Hercules,6.4,17h 17m 07.4s,+43° 08′ 09.4″,14′,0.233,General,,,,0,M92 (NGC 6341) - Globular cluster in Hercules.
messier-M93,Critter Cluster,Open cluster,Puppis,6.0,07h 44.6m,-23° 52′,10′,0.167,General,,,,0,M93 (NGC 2447) - Open cluster in Puppis.
messier-M94,Crocodile Eye or Cat's Eye Galaxy,Spiral galaxy,Canes Venatici,8.2,12h 50m 53.1s,+41° 07′ 14″,11.2′ × 9.1′,0.187,General,,,,0,M94 (NGC 4736) - Spiral galaxy in Canes Venatici.
messier-M95,M95,Barred Spiral galaxy,Leo,9.7,10h 43m 57.7s,+11° 42′ 14″,3.1′ × 2.9′,0.052,General,,,,0,M95 (NGC 3351) - Barred Spiral galaxy in Leo.
messier-M96,M96,Spiral galaxy,Leo,9.2,10h 46m 45.7s,+11° 49′ 12″,7.6′ × 5.2′,0.127,General,,,,0,M96 (NGC 3368) - Spiral galaxy in Leo.
messier-M97,Owl Nebula,Planetary nebula,Ursa Major,9.9,11h 14m 47.7s,+55° 01′ 08.5″,3.4′ × 3.3′,0.057,General,OIII,,,0,M97 (NGC 3587) - Planetary nebula in Ursa Major.
messier-M98,M98,Spiral galaxy,Coma Berenices,10.1,12h 13m 48.3s,+14° 54′ 01.7″,9.8′ × 2.8′,0.163,General,,,,0,M98 (NGC 4192) - Spiral galaxy in Coma Berenices.
messier-M99,St. Catherine's Wheel,Spiral galaxy,Coma Berenices,9.9,12h 18m 49.6s,+14° 24′ 59″,5.4′ × 4.7′,0.090,General,,,,0,M99 (NGC 4254) - Spiral galaxy in Coma Berenices.
messier-M100,Mirror Galaxy,Spiral galaxy,Coma Berenices,9.3,12h 22m 54.9s,+15° 49′ 21″,7.4′ × 6.3′,0.123,General,,,,0,M100 (NGC 4321) - Spiral galaxy in Coma Berenices.
messier-M101,Pinwheel Galaxy,Spiral galaxy,Ursa Major,7.9,14h 03m 12.6s,+54° 20′ 57″,28.8′ × 26.9′,0.480,WideField,,,,1,M101 (NGC 5457) - Spiral galaxy in Ursa Major.
messier-M102,Spindle Galaxy,Lenticular galaxy,Draco,9.9,15h 06m 29.5s,+55° 45′ 48″,4.7′ × 1.9′,0.078,General,,,,0,M102 (NGC 5866) - Lenticular galaxy in Draco.
messier-M103,M103,Open cluster,Cassiopeia,7.4,01h 33.2m,+60° 42′,6′,0.100,General,,,,0,M103 (NGC 581) - Open cluster in Cassiopeia.
messier-M104,Sombrero Galaxy,Spiral galaxy,Virgo,8.0,12h 39m 59.4s,-11° 37′ 23″,9′ × 4′,0.150,General,,,,0,M104 (NGC 4594) - Spiral galaxy in Virgo.
messier-M105,M105,Elliptical galaxy,Leo,9.3,10h 47m 49.6s,+12° 34′ 54″,5.4′ × 4.8′,0.090,General,,,,0,M105 (NGC 3379) - Elliptical galaxy in Leo.
messier-M106,M106,Spiral galaxy,Canes Venatici,8.4,12h 18m 57.5s,+47° 18′ 14″,18.6′ × 7.2′,0.310,General,,,,0,M106 (NGC 4258) - Spiral galaxy in Canes Venatici.
messier-M107,Crucifix Cluster,Globular cluster,Ophiuchus,7.9,16h 32m 31.9s,-13° 03′ 13.6″,10′,0.167,General,,,,0,M107 (NGC 6171) - Globular cluster in Ophiuchus.
messier-M108,Surfboard Galaxy,Barred Spiral galaxy,Ursa Major,10.0,11h 11m 31.0s,+55° 40′ 27″,8.7′ × 2.2′,0.145,General,,,,0,M108 (NGC 3556) - Barred Spiral galaxy in Ursa Major.
messier-M109,Vacuum Cleaner Galaxy,Barred Spiral galaxy,Ursa Major,9.8,11h 57m 36.0s,+53° 22′ 28″,7.6′ × 4.7′,0.127,General,,,,0,M109 (NGC 3992) - Barred Spiral galaxy in Ursa Major.
messier-M110,Andromeda Satellite #2,Dwarf elliptical galaxy,Andromeda,8.5,00h 40m 22.1s,+41° 41′ 07″,21.9′ × 11.0′,0.365,General,,,,0,M110 (NGC 205) - Dwarf elliptical galaxy in Andromeda.
caldwell-C1,NGC 188,Open cluster,Cepheus,8.1,00h 44.4m,+85° 20′,14′,0.233,General,,,,0,C1 (NGC 188) - Ammasso aperto nella costellazione di Cefeo.
caldwell-C2,NGC 40,Planetary nebula,Cepheus,11.6,00h 13.0m,+72° 32′,0.6′,0.010,HighMagnification,UHC,,,0,C2 (NGC 40) - Nebulosa planetaria nella costellazione di Cefeo.
caldwell-C3,NGC 4236,Spiral galaxy,Draco,9.7,12h 16.7m,+69° 28′,21′ x 7′,0.350,WideField,,,,1,C3 (NGC 4236) - Galassia spirale nella costellazione di Dragone.
caldwell-C4,NGC 7023 - Nebulosa Iris,Nebula,Cepheus,6.8,21h 01.8m,+68° 12′,18′ x 18′,0.300,General,,,,0,C4 (NGC 7023) - Nebulosa nella costellazione di Cefeo.
caldwell-C5,IC 342,Barred spiral galaxy,Camelopardalis,9.2,03h 46.8m,+68° 06′,18′ x 17′,0.300,General,,,,0,C5 (IC 342) - Galassia spirale barrata nella costellazione di Giraffa.
caldwell-C6,NGC 6543 - Nebulosa Occhio di Gatto,Planetary nebula,Draco,8.8,17h 58.6m,+66° 38′,0.3′ / 5.8′,0.097,HighMagnification,OIII,,,0,C6 (NGC 6543) - Nebulosa planetaria nella costellazione di Dragone.
caldwell-C7,NGC 2403,Spiral galaxy,Camelopardalis,8.9,07h 36.9m,+65° 36′,18′ x 10′,0.300,General,,,,0,C7 (NGC 2403) - Galassia spirale nella costellazione di Giraffa.
caldwell-C8,NGC 559,Open cluster,Cassiopeia,9.5,01h 29.5m,+63° 18′,4′,0.067,General,,,,0,C8 (NGC 559) - Ammasso aperto nella costellazione di Cassiopea.
caldwell-C9,Sh2-155 - Nebulosa Grotta,Nebula,Cepheus,7.7,22h 56.8m,+62° 37′,50′ x 10′,0.833,WideField,UHC,,,1,C9 (Sh2-155) - Nebulosa nella costellazione di Cefeo.
caldwell-C10,NGC 663,Open cluster,Cassiopeia,7.1,01h 46.0m,+61° 15′,16′,0.267,General,,,,0,C10 (NGC 663) - Ammasso aperto nella costellazione di Cassiopea.
caldwell-C11,NGC 7635 - Nebulosa Bolla,Nebula,Cassiopeia,7.0,23h 20.7m,+61° 12′,15′ x 8′,0.250,General,OIII,,,0,C11 (NGC 7635) - Nebulosa nella costellazione di Cassiopea.
caldwell-C12,NGC 6946 - Galassia Fuochi d'Artificio,Spiral galaxy,Cepheus,9.7,20h 34.8m,+60° 09′,11′ x 9′,0.183,General,,,,0,C12 (NGC 6946) - Galassia spirale nella costellazione di Cefeo.
caldwell-C13,NGC 457 - Ammasso Civetta,Open cluster,Cassiopeia,6.4,01h 19.1m,+58° 20′,13′,0.217,General,,,,0,C13 (NGC 457) - Ammasso aperto nella costellazione di Cassiopea.
caldwell-C14,NGC 869/884 - Doppio Ammasso di Perseo,Open cluster,Perseus,4.3,02h 20.0m,+57° 08′,30′ + 30′,0.500,WideField,,,,1,C14 (NGC 869/884) - Doppio ammasso aperto nella costellazione di Perseo.
caldwell-C15,NGC 6826 - Nebulosa Lampeggiante,Planetary nebula,Cygnus,9.8,19h 44.8m,+50° 31′,0.5′ / 2.3′,0.038,HighMagnification,OIII,,,0,C15 (NGC 6826) - Nebulosa planetaria nella costellazione di Cigno.
caldwell-C16,NGC 7243,Open cluster,Lacerta,6.4,22h 15.3m,+49° 53′,21′,0.350,WideField,,,,1,C16 (NGC 7243) - Ammasso aperto nella costellazione di Lucertola.
caldwell-C17,NGC 147,Dwarf elliptical galaxy,Cassiopeia,9.3,00h 33.2m,+48° 30′,13′ x 8′,0.217,General,,,,0,C17 (NGC 147) - Galassia ellittica nana nella costellazione di Cassiopea.
caldwell-C18,NGC 185,Dwarf elliptical galaxy,Cassiopeia,9.2,00h 39.0m,+48° 20′,12′ x 9′,0.200,General,,,,0,C18 (NGC 185) - Galassia ellittica nana nella costellazione di Cassiopea.
caldwell-C19,IC 5146 - Nebulosa Bozzolo,Nebula,Cygnus,10.0,21h 53.5m,+47° 16′,12′ x 12′,0.200,General,H_BETA,,,0,C19 (IC 5146) - Nebulosa nella costellazione di Cigno.
caldwell-C20,NGC 7000 - Nebulosa Nord America,Nebula,Cygnus,6.0,20h 58.8m,+44° 20′,120′ x 100′,2.000,WideField,UHC,,,1,C20 (NGC 7000) - Nebulosa nella costellazione di Cigno.
caldwell-C21,NGC 4449,Irregular galaxy,Canes Venatici,9.4,12h 28.2m,+44° 06′,5′ x 3′,0.083,General,,,,0,C21 (NGC 4449) - Galassia irregolare nella costellazione di Cani da Caccia.
caldwell-C22,NGC 7662 - Nebulosa Palla di Neve Blu,Planetary nebula,Andromeda,9.2,23h 25.9m,+42° 33′,0.3′ / 2.2′,0.037,HighMagnification,OIII,,,0,C22 (NGC 7662) - Nebulosa planetaria nella costellazione di Andromeda.
caldwell-C23,NGC 891,Spiral galaxy,Andromeda,9.9,02h 22.6m,+42° 21′,14′ x 2′,0.233,General,,,,0,C23 (NGC 891) - Galassia spirale nella costellazione di Andromeda.
caldwell-C24,NGC 1275 - Perseo A,Seyfert galaxy,Perseus,11.6,03h 19.8m,+41° 31′,2.6′ x 1′,0.043,General,,,,0,C24 (NGC 1275) - Galassia di Seyfert nella costellazione di Perseo.
caldwell-C25,NGC 2419 - Vagabondo Intergalattico,Globular cluster,Lynx,10.4,07h 38.1m,+38° 53′,4.1′,0.068,General,,,,0,C25 (NGC 2419) - Ammasso globulare nella costellazione di Lince.
caldwell-C26,NGC 4244 - Galassia Ago d'Argento,Spiral galaxy,Canes Venatici,10.6,12h 17.5m,+37° 49′,16′ x 2.5′,0.267,General,,,,0,C26 (NGC 4244) - Galassia spirale nella costellazione di Cani da Caccia.
caldwell-C27,NGC 6888 - Nebulosa Crescente,Nebula,Cygnus,7.5,20h 12.0m,+38° 21′,20′ x 10′,0.333,WideField,OIII,,,1,C27 (NGC 6888) - Nebulosa nella costellazione di Cigno.
caldwell-C28,NGC 752,Open cluster,Andromeda,5.7,01h 57.8m,+37° 41′,50′,0.833,WideField,,,,1,C28 (NGC 752) - Ammasso aperto nella costellazione di Andromeda.
caldwell-C29,NGC 5005,Spiral galaxy,Canes Venatici,9.8,13h 10.9m,+37° 03′,5.4′ x 2′,0.090,General,,,,0,C29 (NGC 5005) - Galassia spirale nella costellazione di Cani da Caccia.
caldwell-C30,NGC 7331,Spiral galaxy,Pegasus,9.5,22h 37.1m,+34° 25′,11′ x 4′,0.183,General,,,,0,C30 (NGC 7331) - Galassia spirale nella costellazione di Pegaso.
caldwell-C31,IC 405 - Nebulosa Stella Fiammeggiante,Nebula,Auriga,6.0,05h 16.2m,+34° 16′,30′ x 19′,0.500,WideField,H_BETA,,,1,C31 (IC 405) - Nebulosa nella costellazione di Auriga.
caldwell-C32,NGC 4631 - Galassia Balena,Spiral galaxy,Canes Venatici,9.3,12h 42.1m,+32° 32′,15′ x 3′,0.250,General,,,,0,C32 (NGC 4631) - Galassia spirale nella costellazione di Cani da Caccia.
caldwell-C33,NGC 6992/6995 - Nebulosa Velo Est,Supernova remnant,Cygnus,,20h 56.4m,+31° 43′,60′ x 8′,1.000,WideField,OIII,,,1,C33 (NGC 6992/6995) - Resto di supernova nella costellazione di Cigno.
